slug,product,kind,docType,version,drive_url,title_es,title_en,date,releaseNotes_es,releaseNotes_en,checksum,fileSize,mandatory
camera-c29n,camera-c29n,manual,certification,,,camera-c29n Certificación,camera-c29n Certification,,,,,,,
camera-c29n,camera-c29n,firmware,,,,,,,,,,,
camera-c39a,camera-c39a,manual,datasheet,,,camera-c39a Ficha técnica,camera-c39a Datasheet,,,,,,,
camera-c39a,camera-c39a,manual,user-guide,,,camera-c39a Guía de usuario,camera-c39a User Guide,,,,,,,
camera-c39a,camera-c39a,manual,wiring-diagram,,,camera-c39a Diagrama de cableado,camera-c39a Wiring Diagram,,,,,,,
camera-c39a,camera-c39a,manual,certification,,,camera-c39a Certificación,camera-c39a Certification,,,,,,,
camera-c39a,camera-c39a,firmware,,,,,,,,,,,
camera-c39b,camera-c39b,manual,datasheet,,,camera-c39b Ficha técnica,camera-c39b Datasheet,,,,,,,
camera-c39b,camera-c39b,manual,user-guide,,,camera-c39b Guía de usuario,camera-c39b User Guide,,,,,,,
camera-c39b,camera-c39b,manual,wiring-diagram,,,camera-c39b Diagrama de cableado,camera-c39b Wiring Diagram,,,,,,,
camera-c39b,camera-c39b,manual,certification,,,camera-c39b Certificación,camera-c39b Certification,,,,,,,
camera-c39b,camera-c39b,firmware,,,,,,,,,,,
camera-c46,camera-c46,manual,datasheet,,,camera-c46 Ficha técnica,camera-c46 Datasheet,,,,,,,
camera-c46,camera-c46,manual,user-guide,,,camera-c46 Guía de usuario,camera-c46 User Guide,,,,,,,
camera-c46,camera-c46,manual,wiring-diagram,,,camera-c46 Diagrama de cableado,camera-c46 Wiring Diagram,,,,,,,
camera-c46,camera-c46,manual,certification,,,camera-c46 Certificación,camera-c46 Certification,,,,,,,
camera-c46,camera-c46,firmware,,,,,,,,,,,
camera-ca20d,camera-ca20d,manual,datasheet,,,camera-ca20d Ficha técnica,camera-ca20d Datasheet,,,,,,,
camera-ca20d,camera-ca20d,manual,user-guide,,,camera-ca20d Guía de usuario,camera-ca20d User Guide,,,,,,,
camera-ca20d,camera-ca20d,manual,wiring-diagram,,,camera-ca20d Diagrama de cableado,camera-ca20d Wiring Diagram,,,,,,,
camera-ca20d,camera-ca20d,manual,certification,,,camera-ca20d Certificación,camera-ca20d Certification,,,,,,,
camera-ca20d,camera-ca20d,firmware,,,,,,,,,,,
camera-ca20s,camera-ca20s,manual,datasheet,,,camera-ca20s Ficha técnica,camera-ca20s Datasheet,,,,,,,
camera-ca20s,camera-ca20s,manual,user-guide,,,camera-ca20s Guía de usuario,camera-ca20s User Guide,,,,,,,
camera-ca20s,camera-ca20s,manual,wiring-diagram,,,camera-ca20s Diagrama de cableado,camera-ca20s Wiring Diagram,,,,,,,
camera-ca20s,camera-ca20s,manual,certification,,,camera-ca20s Certificación,camera-ca20s Certification,,,,,,,
camera-ca20s,camera-ca20s,firmware,,,,,,,,,,,
camera-ca25,camera-ca25,manual,datasheet,,,camera-ca25 Ficha técnica,camera-ca25 Datasheet,,,,,,,
camera-ca25,camera-ca25,manual,user-guide,,,camera-ca25 Guía de usuario,camera-ca25 User Guide,,,,,,,
camera-ca25,camera-ca25,manual,wiring-diagram,,,camera-ca25 Diagrama de cableado,camera-ca25 Wiring Diagram,,,,,,,
camera-ca25,camera-ca25,manual,certification,,,camera-ca25 Certificación,camera-ca25 Certification,,,,,,,
camera-ca25,camera-ca25,firmware,,,,,,,,,,,
camera-ca38,camera-ca38,manual,datasheet,,,camera-ca38 Ficha técnica,camera-ca38 Datasheet,,,,,,,
camera-ca38,camera-ca38,manual,user-guide,,,camera-ca38 Guía de usuario,camera-ca38 User Guide,,,,,,,
camera-ca38,camera-ca38,manual,wiring-diagram,,,camera-ca38 Diagrama de cableado,camera-ca38 Wiring Diagram,,,,,,,
camera-ca38,camera-ca38,manual,certification,,,camera-ca38 Certificación,camera-ca38 Certification,,,,,,,
camera-ca38,camera-ca38,firmware,,,,,,,,,,,
camera-ca39,camera-ca39,manual,datasheet,,,camera-ca39 Ficha técnica,camera-ca39 Datasheet,,,,,,,
camera-ca39,camera-ca39,manual,user-guide,,,camera-ca39 Guía de usuario,camera-ca39 User Guide,,,,,,,
camera-ca39,camera-ca39,manual,wiring-diagram,,,camera-ca39 Diagrama de cableado,camera-ca39 Wiring Diagram,,,,,,,
camera-ca39,camera-ca39,manual,certification,,,camera-ca39 Certificación,camera-ca39 Certification,,,,,,,
camera-ca39,camera-ca39,firmware,,,,,,,,,,,
camera-ca39a,camera-ca39a,manual,datasheet,,,camera-ca39a Ficha técnica,camera-ca39a Datasheet,,,,,,,
camera-ca39a,camera-ca39a,manual,user-guide,,,camera-ca39a Guía de usuario,camera-ca39a User Guide,,,,,,,
camera-ca39a,camera-ca39a,manual,wiring-diagram,,,camera-ca39a Diagrama de cableado,camera-ca39a Wiring Diagram,,,,,,,
camera-ca39a,camera-ca39a,manual,certification,,,camera-ca39a Certificación,camera-ca39a Certification,,,,,,,
camera-ca39a,camera-ca39a,firmware,,,,,,,,,,,
camera-ca39b,camera-ca39b,manual,datasheet,,,camera-ca39b Ficha técnica,camera-ca39b Datasheet,,,,,,,
camera-ca39b,camera-ca39b,manual,user-guide,,,camera-ca39b Guía de usuario,camera-ca39b User Guide,,,,,,,
camera-ca39b,camera-ca39b,manual,wiring-diagram,,,camera-ca39b Diagrama de cableado,camera-ca39b Wiring Diagram,,,,,,,
camera-ca39b,camera-ca39b,manual,certification,,,camera-ca39b Certificación,camera-ca39b Certification,,,,,,,
camera-ca39b,camera-ca39b,firmware,,,,,,,,,,,
camera-ca4,camera-ca4,manual,datasheet,,,camera-ca4 Ficha técnica,camera-ca4 Datasheet,,,,,,,
camera-ca4,camera-ca4,manual,user-guide,,,camera-ca4 Guía de usuario,camera-ca4 User Guide,,,,,,,
camera-ca4,camera-ca4,manual,wiring-diagram,,,camera-ca4 Diagrama de cableado,camera-ca4 Wiring Diagram,,,,,,,
camera-ca4,camera-ca4,manual,certification,,,camera-ca4 Certificación,camera-ca4 Certification,,,,,,,
camera-ca4,camera-ca4,firmware,,,,,,,,,,,
camera-ca42-wireless-camera,camera-ca42-wireless-camera,manual,datasheet,,,camera-ca42-wireless-camera Ficha técnica,camera-ca42-wireless-camera Datasheet,,,,,,,
camera-ca42-wireless-camera,camera-ca42-wireless-camera,manual,user-guide,,,camera-ca42-wireless-camera Guía de usuario,camera-ca42-wireless-camera User Guide,,,,,,,
camera-ca42-wireless-camera,camera-ca42-wireless-camera,manual,wiring-diagram,,,camera-ca42-wireless-camera Diagrama de cableado,camera-ca42-wireless-camera Wiring Diagram,,,,,,,
camera-ca42-wireless-camera,camera-ca42-wireless-camera,manual,certification,,,camera-ca42-wireless-camera Certificación,camera-ca42-wireless-camera Certification,,,,,,,
camera-ca42-wireless-camera,camera-ca42-wireless-camera,firmware,,,,,,,,,,,
camera-ca46,camera-ca46,manual,datasheet,,,camera-ca46 Ficha técnica,camera-ca46 Datasheet,,,,,,,
camera-ca46,camera-ca46,manual,user-guide,,,camera-ca46 Guía de usuario,camera-ca46 User Guide,,,,,,,
camera-ca46,camera-ca46,manual,wiring-diagram,,,camera-ca46 Diagrama de cableado,camera-ca46 Wiring Diagram,,,,,,,
camera-ca46,camera-ca46,manual,certification,,,camera-ca46 Certificación,camera-ca46 Certification,,,,,,,
camera-ca46,camera-ca46,firmware,,,,,,,,,,,
camera-ca51,camera-ca51,manual,datasheet,,,camera-ca51 Ficha técnica,camera-ca51 Datasheet,,,,,,,
camera-ca51,camera-ca51,manual,user-guide,,,camera-ca51 Guía de usuario,camera-ca51 User Guide,,,,,,,
camera-ca51,camera-ca51,manual,wiring-diagram,,,camera-ca51 Diagrama de cableado,camera-ca51 Wiring Diagram,,,,,,,
camera-ca51,camera-ca51,manual,certification,,,camera-ca51 Certificación,camera-ca51 Certification,,,,,,,
camera-ca51,camera-ca51,firmware,,,,,,,,,,,
camera-ca51a,camera-ca51a,manual,datasheet,,,camera-ca51a Ficha técnica,camera-ca51a Datasheet,,,,,,,
camera-ca51a,camera-ca51a,manual,user-guide,,,camera-ca51a Guía de usuario,camera-ca51a User Guide,,,,,,,
camera-ca51a,camera-ca51a,manual,wiring-diagram,,,camera-ca51a Diagrama de cableado,camera-ca51a Wiring Diagram,,,,,,,
camera-ca51a,camera-ca51a,manual,certification,,,camera-ca51a Certificación,camera-ca51a Certification,,,,,,,
camera-ca51a,camera-ca51a,firmware,,,,,,,,,,,
camera-sc,camera-sc,manual,datasheet,,,camera-sc Ficha técnica,camera-sc Datasheet,,,,,,,
camera-sc,camera-sc,manual,user-guide,,,camera-sc Guía de usuario,camera-sc User Guide,,,,,,,
camera-sc,camera-sc,manual,wiring-diagram,,,camera-sc Diagrama de cableado,camera-sc Wiring Diagram,,,,,,,
camera-sc,camera-sc,manual,certification,,,camera-sc Certificación,camera-sc Certification,,,,,,,
camera-sc,camera-sc,firmware,,,,,,,,,,,
avm,avm,manual,datasheet,,,avm Ficha técnica,avm Datasheet,,,,,,,
avm,avm,manual,user-guide,,,avm Guía de usuario,avm User Guide,,,,,,,
avm,avm,manual,wiring-diagram,,,avm Diagrama de cableado,avm Wiring Diagram,,,,,,,
avm,avm,manual,certification,,,avm Certificación,avm Certification,,,,,,,
avm,avm,firmware,,,,,,,,,,,
display-cp16max,display-cp16max,manual,datasheet,,,display-cp16max Ficha técnica,display-cp16max Datasheet,,,,,,,
display-cp16max,display-cp16max,manual,user-guide,,,display-cp16max Guía de usuario,display-cp16max User Guide,,,,,,,
display-cp16max,display-cp16max,manual,wiring-diagram,,,display-cp16max Diagrama de cableado,display-cp16max Wiring Diagram,,,,,,,
display-cp16max,display-cp16max,manual,certification,,,display-cp16max Certificación,display-cp16max Certification,,,,,,,
display-cp16max,display-cp16max,firmware,,,,,,,,,,,
display-cp4,display-cp4,manual,datasheet,,,display-cp4 Ficha técnica,display-cp4 Datasheet,,,,,,,
display-cp4,display-cp4,manual,user-guide,,,display-cp4 Guía de usuario,display-cp4 User Guide,,,,,,,
display-cp4,display-cp4,manual,wiring-diagram,,,display-cp4 Diagrama de cableado,display-cp4 Wiring Diagram,,,,,,,
display-cp4,display-cp4,manual,certification,,,display-cp4 Certificación,display-cp4 Certification,,,,,,,
display-cp4,display-cp4,firmware,,,,,,,,,,,
display-cp5,display-cp5,manual,datasheet,,,display-cp5 Ficha técnica,display-cp5 Datasheet,,,,,,,
display-cp5,display-cp5,manual,user-guide,,,display-cp5 Guía de usuario,display-cp5 User Guide,,,,,,,
display-cp5,display-cp5,manual,wiring-diagram,,,display-cp5 Diagrama de cableado,display-cp5 Wiring Diagram,,,,,,,
display-cp5,display-cp5,manual,certification,,,display-cp5 Certificación,display-cp5 Certification,,,,,,,
display-cp5,display-cp5,firmware,,,,,,,,,,,
display-dp12s,display-dp12s,manual,datasheet,,,display-dp12s Ficha técnica,display-dp12s Datasheet,,,,,,,
display-dp12s,display-dp12s,manual,user-guide,,,display-dp12s Guía de usuario,display-dp12s User Guide,,,,,,,
display-dp12s,display-dp12s,manual,wiring-diagram,,,display-dp12s Diagrama de cableado,display-dp12s Wiring Diagram,,,,,,,
display-dp12s,display-dp12s,manual,certification,,,display-dp12s Certificación,display-dp12s Certification,,,,,,,
display-dp12s,display-dp12s,firmware,,,,,,,,,,,
display-dp7q-rt,display-dp7q-rt,manual,datasheet,,,display-dp7q-rt Ficha técnica,display-dp7q-rt Datasheet,,,,,,,
display-dp7q-rt,display-dp7q-rt,manual,user-guide,,,display-dp7q-rt Guía de usuario,display-dp7q-rt User Guide,,,,,,,
display-dp7q-rt,display-dp7q-rt,manual,wiring-diagram,,,display-dp7q-rt Diagrama de cableado,display-dp7q-rt Wiring Diagram,,,,,,,
display-dp7q-rt,display-dp7q-rt,manual,certification,,,display-dp7q-rt Certificación,display-dp7q-rt Certification,,,,,,,
display-dp7q-rt,display-dp7q-rt,firmware,,,,,,,,,,,
display-dp7q-t,display-dp7q-t,manual,datasheet,,,display-dp7q-t Ficha técnica,display-dp7q-t Datasheet,,,,,,,
display-dp7q-t,display-dp7q-t,manual,user-guide,,,display-dp7q-t Guía de usuario,display-dp7q-t User Guide,,,,,,,
display-dp7q-t,display-dp7q-t,manual,wiring-diagram,,,display-dp7q-t Diagrama de cableado,display-dp7q-t Wiring Diagram,,,,,,,
display-dp7q-t,display-dp7q-t,manual,certification,,,display-dp7q-t Certificación,display-dp7q-t Certification,,,,,,,
display-dp7q-t,display-dp7q-t,firmware,,,,,,,,,,,
display-dp7s,display-dp7s,manual,datasheet,,,display-dp7s Ficha técnica,display-dp7s Datasheet,,,,,,,
display-dp7s,display-dp7s,manual,user-guide,,,display-dp7s Guía de usuario,display-dp7s User Guide,,,,,,,
display-dp7s,display-dp7s,manual,wiring-diagram,,,display-dp7s Diagrama de cableado,display-dp7s Wiring Diagram,,,,,,,
display-dp7s,display-dp7s,manual,certification,,,display-dp7s Certificación,display-dp7s Certification,,,,,,,
display-dp7s,display-dp7s,firmware,,,,,,,,,,,
display-dp7s-t,display-dp7s-t,manual,datasheet,,,display-dp7s-t Ficha técnica,display-dp7s-t Datasheet,,,,,,,
display-dp7s-t,display-dp7s-t,manual,user-guide,,,display-dp7s-t Guía de usuario,display-dp7s-t User Guide,,,,,,,
display-dp7s-t,display-dp7s-t,manual,wiring-diagram,,,display-dp7s-t Diagrama de cableado,display-dp7s-t Wiring Diagram,,,,,,,
display-dp7s-t,display-dp7s-t,manual,certification,,,display-dp7s-t Certificación,display-dp7s-t Certification,,,,,,,
display-dp7s-t,display-dp7s-t,firmware,,,,,,,,,,,
display-xpad-2-0,display-xpad-2-0,manual,datasheet,,,display-xpad-2-0 Ficha técnica,display-xpad-2-0 Datasheet,,,,,,,
display-xpad-2-0,display-xpad-2-0,manual,user-guide,,,display-xpad-2-0 Guía de usuario,display-xpad-2-0 User Guide,,,,,,,
display-xpad-2-0,display-xpad-2-0,manual,wiring-diagram,,,display-xpad-2-0 Diagrama de cableado,display-xpad-2-0 Wiring Diagram,,,,,,,
display-xpad-2-0,display-xpad-2-0,manual,certification,,,display-xpad-2-0 Certificación,display-xpad-2-0 Certification,,,,,,,
display-xpad-2-0,display-xpad-2-0,firmware,,,,,,,,,,,
display-xpad-5-0,display-xpad-5-0,manual,datasheet,,,display-xpad-5-0 Ficha técnica,display-xpad-5-0 Datasheet,,,,,,,
display-xpad-5-0,display-xpad-5-0,manual,user-guide,,,display-xpad-5-0 Guía de usuario,display-xpad-5-0 User Guide,,,,,,,
display-xpad-5-0,display-xpad-5-0,manual,wiring-diagram,,,display-xpad-5-0 Diagrama de cableado,display-xpad-5-0 Wiring Diagram,,,,,,,
display-xpad-5-0,display-xpad-5-0,manual,certification,,,display-xpad-5-0 Certificación,display-xpad-5-0 Certification,,,,,,,
display-xpad-5-0,display-xpad-5-0,firmware,,,,,,,,,,,
law-enforcement-b68c27,law-enforcement-b68c27,manual,datasheet,,,law-enforcement-b68c27 Ficha técnica,law-enforcement-b68c27 Datasheet,,,,,,,
law-enforcement-b68c27,law-enforcement-b68c27,manual,user-guide,,,law-enforcement-b68c27 Guía de usuario,law-enforcement-b68c27 User Guide,,,,,,,
law-enforcement-b68c27,law-enforcement-b68c27,manual,wiring-diagram,,,law-enforcement-b68c27 Diagrama de cableado,law-enforcement-b68c27 Wiring Diagram,,,,,,,
law-enforcement-b68c27,law-enforcement-b68c27,manual,certification,,,law-enforcement-b68c27 Certificación,law-enforcement-b68c27 Certification,,,,,,,
law-enforcement-b68c27,law-enforcement-b68c27,firmware,,,,,,,,,,,
law-enforcement-body-worn-camera,law-enforcement-body-worn-camera,manual,datasheet,,,law-enforcement-body-worn-camera Ficha técnica,law-enforcement-body-worn-camera Datasheet,,,,,,,
law-enforcement-body-worn-camera,law-enforcement-body-worn-camera,manual,user-guide,,,law-enforcement-body-worn-camera Guía de usuario,law-enforcement-body-worn-camera User Guide,,,,,,,
law-enforcement-body-worn-camera,law-enforcement-body-worn-camera,manual,wiring-diagram,,,law-enforcement-body-worn-camera Diagrama de cableado,law-enforcement-body-worn-camera Wiring Diagram,,,,,,,
law-enforcement-body-worn-camera,law-enforcement-body-worn-camera,manual,certification,,,law-enforcement-body-worn-camera Certificación,law-enforcement-body-worn-camera Certification,,,,,,,
law-enforcement-body-worn-camera,law-enforcement-body-worn-camera,firmware,,,,,,,,,,,
law-enforcement-c24ma,law-enforcement-c24ma,manual,datasheet,,,law-enforcement-c24ma Ficha técnica,law-enforcement-c24ma Datasheet,,,,,,,
law-enforcement-c24ma,law-enforcement-c24ma,manual,user-guide,,,law-enforcement-c24ma Guía de usuario,law-enforcement-c24ma User Guide,,,,,,,
law-enforcement-c24ma,law-enforcement-c24ma,manual,wiring-diagram,,,law-enforcement-c24ma Diagrama de cableado,law-enforcement-c24ma Wiring Diagram,,,,,,,
law-enforcement-c24ma,law-enforcement-c24ma,manual,certification,,,law-enforcement-c24ma Certificación,law-enforcement-c24ma Certification,,,,,,,
law-enforcement-c24ma,law-enforcement-c24ma,firmware,,,,,,,,,,,
law-enforcement-c37-dual-eye-camera,law-enforcement-c37-dual-eye-camera,manual,datasheet,,,law-enforcement-c37-dual-eye-camera Ficha técnica,law-enforcement-c37-dual-eye-camera Datasheet,,,,,,,
law-enforcement-c37-dual-eye-camera,law-enforcement-c37-dual-eye-camera,manual,user-guide,,,law-enforcement-c37-dual-eye-camera Guía de usuario,law-enforcement-c37-dual-eye-camera User Guide,,,,,,,
law-enforcement-c37-dual-eye-camera,law-enforcement-c37-dual-eye-camera,manual,wiring-diagram,,,law-enforcement-c37-dual-eye-camera Diagrama de cableado,law-enforcement-c37-dual-eye-camera Wiring Diagram,,,,,,,
law-enforcement-c37-dual-eye-camera,law-enforcement-c37-dual-eye-camera,manual,certification,,,law-enforcement-c37-dual-eye-camera Certificación,law-enforcement-c37-dual-eye-camera Certification,,,,,,,
law-enforcement-c37-dual-eye-camera,law-enforcement-c37-dual-eye-camera,firmware,,,,,,,,,,,
law-enforcement-d50c27,law-enforcement-d50c27,manual,datasheet,,,law-enforcement-d50c27 Ficha técnica,law-enforcement-d50c27 Datasheet,,,,,,,
law-enforcement-d50c27,law-enforcement-d50c27,manual,user-guide,,,law-enforcement-d50c27 Guía de usuario,law-enforcement-d50c27 User Guide,,,,,,,
law-enforcement-d50c27,law-enforcement-d50c27,manual,wiring-diagram,,,law-enforcement-d50c27 Diagrama de cableado,law-enforcement-d50c27 Wiring Diagram,,,,,,,
law-enforcement-d50c27,law-enforcement-d50c27,manual,certification,,,law-enforcement-d50c27 Certificación,law-enforcement-d50c27 Certification,,,,,,,
law-enforcement-d50c27,law-enforcement-d50c27,firmware,,,,,,,,,,,
law-enforcement-mds,law-enforcement-mds,manual,datasheet,,,law-enforcement-mds Ficha técnica,law-enforcement-mds Datasheet,,,,,,,
law-enforcement-mds,law-enforcement-mds,manual,user-guide,,,law-enforcement-mds Guía de usuario,law-enforcement-mds User Guide,,,,,,,
law-enforcement-mds,law-enforcement-mds,manual,wiring-diagram,,,law-enforcement-mds Diagrama de cableado,law-enforcement-mds Wiring Diagram,,,,,,,
law-enforcement-mds,law-enforcement-mds,manual,certification,,,law-enforcement-mds Certificación,law-enforcement-mds Certification,,,,,,,
law-enforcement-mds,law-enforcement-mds,firmware,,,,,,,,,,,
law-enforcement-palm-reader,law-enforcement-palm-reader,manual,datasheet,,,law-enforcement-palm-reader Ficha técnica,law-enforcement-palm-reader Datasheet,,,,,,,
law-enforcement-palm-reader,law-enforcement-palm-reader,manual,user-guide,,,law-enforcement-palm-reader Guía de usuario,law-enforcement-palm-reader User Guide,,,,,,,
law-enforcement-palm-reader,law-enforcement-palm-reader,manual,wiring-diagram,,,law-enforcement-palm-reader Diagrama de cableado,law-enforcement-palm-reader Wiring Diagram,,,,,,,
